"","Theta","Correlation"
"1",0.01,0.994676505572325
"2",0.02,0.98963317463746
"3",0.03,0.984188747653486
"4",0.04,0.981590590614821
"5",0.05,0.974836478826417
"6",0.06,0.969060551231232
"7",0.07,0.9695434776112
"8",0.08,0.956503595784393
"9",0.09,0.9522662046119
"10",0.1,0.947813436925669
"11",0.11,0.945664879915764
"12",0.12,0.937806459102473
"13",0.13,0.933287058768034
"14",0.14,0.930162661451683
"15",0.15,0.923329953994635
"16",0.16,0.919064923355817
"17",0.17,0.90381258578689
"18",0.18,0.914994558369129
"19",0.19,0.902175520261588
"20",0.2,0.890868712867267
"21",0.21,0.888340219262293
"22",0.22,0.884432024339399
"23",0.23,0.883552425534771
"24",0.24,0.867879685102127
"25",0.25,0.868115948504218
"26",0.26,0.860797402793104
"27",0.27,0.854116614378745
"28",0.28,0.839267513464351
"29",0.29,0.836048762728777
"30",0.3,0.837807515402497
"31",0.31,0.827278855669448
"32",0.32,0.827363461711514
"33",0.33,0.826580151333307
"34",0.34,0.811234754358758
"35",0.35,0.809022225865841
"36",0.36,0.799542777820173
"37",0.37,0.79220150229336
"38",0.38,0.78893986305277
"39",0.39,0.786936417249963
"40",0.4,0.77098225903188
"41",0.41,0.769191421451721
"42",0.42,0.768739035052951
"43",0.43,0.761217677682349
"44",0.44,0.756732291474486
"45",0.45,0.734751277768998
"46",0.46,0.732063351699431
"47",0.47,0.729121094382683
"48",0.48,0.714773574138713
"49",0.49,0.717324629209663
"50",0.5,0.708217818481588
"51",0.51,0.69952561627376
"52",0.52,0.699613225735928
"53",0.53,0.695547886464394
"54",0.54,0.677944099870664
"55",0.55,0.681949212629916
"56",0.56,0.667058219111852
"57",0.57,0.658472779345355
"58",0.58,0.662891603062149
"59",0.59,0.636756942964684
"60",0.6,0.64298248069218
"61",0.61,0.635049802229253
"62",0.62,0.63275484509813
"63",0.63,0.61832784366886
"64",0.64,0.614034964416107
"65",0.65,0.610828660078823
"66",0.66,0.597620114852853
"67",0.67,0.587688862367649
"68",0.68,0.573012893191988
"69",0.69,0.568490015927464
"70",0.7,0.567402641913703
"71",0.71,0.564204439444474
"72",0.72,0.546407072508494
"73",0.73,0.538398809095073
"74",0.74,0.530074733341875
"75",0.75,0.531278002984715
"76",0.76,0.519722196622954
"77",0.77,0.507009831028893
"78",0.78,0.504802098508153
"79",0.79,0.503092027890751
"80",0.8,0.483813090007812
"81",0.81,0.485012735886903
"82",0.82,0.466639838128986
"83",0.83,0.465658212788483
"84",0.84,0.450964253383498
"85",0.85,0.440289780031059
"86",0.86,0.441605915917868
"87",0.87,0.431057636536773
"88",0.88,0.411245507241568
"89",0.89,0.407156370486308
"90",0.9,0.405336673771833
"91",0.91,0.392245455691342
"92",0.92,0.398393815644348
"93",0.93,0.390740101301283
"94",0.94,0.36554096765087
"95",0.95,0.370373513571357
"96",0.96,0.363249403102441
"97",0.97,0.359033666233786
"98",0.98,0.346397970819799
"99",0.99,0.339031481280221
