"","Theta","Correlation"
"1",0.1,0.022593499349935
"2",0.11,0.0332773677367737
"3",0.12,0.0386920292029203
"4",0.13,0.0353660566056606
"5",0.14,0.0324864086408641
"6",0.15,0.0286111411141114
"7",0.16,0.0362758275827583
"8",0.17,0.044173697369737
"9",0.18,0.0407950795079508
"10",0.19,0.0342014601460146
"11",0.2,0.0512961696169617
"12",0.21,0.0584044404440444
"13",0.22,0.0596117211721172
"14",0.23,0.05443900390039
"15",0.24,0.0575083108310831
"16",0.25,0.04357699769977
"17",0.26,0.0600061606160616
"18",0.27,0.0529031703170317
"19",0.28,0.0663525152515251
"20",0.29,0.0671010701070107
"21",0.3,0.0571354335433543
"22",0.31,0.068043804380438
"23",0.32,0.0723018301830183
"24",0.33,0.0792140414041404
"25",0.34,0.0718739873987399
"26",0.35,0.080194099409941
"27",0.36,0.0832446444644464
"28",0.37,0.0854847884788479
"29",0.38,0.0875593559355936
"30",0.39,0.079596199619962
"31",0.4,0.0929958195819582
"32",0.41,0.0955697169716972
"33",0.42,0.0918667866786678
"34",0.43,0.0945496149614961
"35",0.44,0.100329573960692
"36",0.45,0.089442704270427
"37",0.46,0.105438823882388
"38",0.47,0.103342454245425
"39",0.48,0.108218821882188
"40",0.49,0.108573857385739
"41",0.5,0.0972268426842684
"42",0.51,0.111815701570157
"43",0.52,0.118731433143314
"44",0.53,0.122581938193819
"45",0.54,0.130668786878688
"46",0.55,0.125075667566757
"47",0.56,0.119001300130013
"48",0.57,0.119201800180018
"49",0.58,0.136802160216022
"50",0.59,0.124483208320832
"51",0.6,0.120102810281028
"52",0.61,0.125126872687269
"53",0.62,0.121523272327233
"54",0.63,0.122028642864286
"55",0.64,0.132832323232323
"56",0.65,0.138261866186619
"57",0.66,0.127267566756676
"58",0.67,0.146145534553455
"59",0.68,0.144520892089209
"60",0.69,0.14895797579758
"61",0.7,0.148133733373337
"62",0.71,0.140260386038604
"63",0.72,0.137736493649365
"64",0.73,0.163737813781378
"65",0.74,0.150795799579958
"66",0.75,0.155051865186519
"67",0.76,0.149374337433743
"68",0.77,0.153655125512551
"69",0.78,0.159876827682768
"70",0.79,0.167892149214921
"71",0.8,0.150617781778178
"72",0.81,0.169281648164816
"73",0.82,0.17453805380538
"74",0.83,0.176089888988899
"75",0.84,0.168877407740774
"76",0.85,0.17894805480548
"77",0.86,0.182224622462246
"78",0.87,0.16651305130513
"79",0.88,0.170738913891389
"80",0.89,0.17895297529753
"81",0.9,0.182305150515051
"82",0.91,0.169310331033103
"83",0.92,0.181295169516952
"84",0.93,0.189718851885188
"85",0.94,0.19533301330133
"86",0.95,0.182925172517252
"87",0.96,0.184857925792579
"88",0.97,0.193734573457346
"89",0.98,0.197029342934293
"90",0.99,0.184780278027803
"91",1,0.194336633663366
"92",1.01,0.196304870487049
"93",1.02,0.201022622262226
"94",1.03,0.192291869186919
"95",1.04,0.19997503750375
"96",1.05,0.195486108610861
"97",1.06,0.214832203220322
"98",1.07,0.203126712671267
"99",1.08,0.213761776177618
"100",1.09,0.206760316031603
"101",1.1,0.195232923292329
"102",1.11,0.214086688668867
"103",1.12,0.216845324532453
"104",1.13,0.21610497049705
"105",1.14,0.221488708870887
"106",1.15,0.212626902690269
"107",1.16,0.226933653365336
"108",1.17,0.219551195119512
"109",1.18,0.227086228622862
"110",1.19,0.223269366936694
"111",1.2,0.227399579957996
"112",1.21,0.234129292929293
"113",1.22,0.231163556355636
"114",1.23,0.220747194719472
"115",1.24,0.22100398039804
"116",1.25,0.232081808180818
"117",1.26,0.235704930493049
"118",1.27,0.228157295729573
"119",1.28,0.25096097609761
"120",1.29,0.239832663266327
"121",1.3,0.250273787378738
"122",1.31,0.232180738073807
"123",1.32,0.247475747574757
"124",1.33,0.233171517151715
"125",1.34,0.24720504050405
"126",1.35,0.253646724672467
"127",1.36,0.247749294929493
"128",1.37,0.239490429042904
"129",1.38,0.249072867286729
"130",1.39,0.246562616261626
"131",1.4,0.253130233023302
"132",1.41,0.256698549854985
"133",1.42,0.260793719371937
"134",1.43,0.248835683568357
"135",1.44,0.2623299529953
"136",1.45,0.270766836683668
"137",1.46,0.259591559155916
"138",1.47,0.257742614261426
"139",1.48,0.257858905890589
"140",1.49,0.282015921592159
"141",1.5,0.274509690969097
"142",1.51,0.270344274427443
"143",1.52,0.279678567856786
"144",1.53,0.272984498449845
"145",1.54,0.26082104210421
"146",1.55,0.264300910091009
"147",1.56,0.286282788278828
"148",1.57,0.270123612361236
"149",1.58,0.275041264126413
"150",1.59,0.286839443944394
"151",1.6,0.271323412341234
"152",1.61,0.287433783378338
"153",1.62,0.284433683368337
"154",1.63,0.287355175517552
"155",1.64,0.278547174717472
"156",1.65,0.288771317131713
"157",1.66,0.287554475447545
"158",1.67,0.289083348334833
"159",1.68,0.289795659565957
"160",1.69,0.284617101710171
"161",1.7,0.302718151815181
"162",1.71,0.302092569256926
"163",1.72,0.307880308030803
"164",1.73,0.295717931793179
"165",1.74,0.300984098409841
"166",1.75,0.307013461346135
"167",1.76,0.298394799479948
"168",1.77,0.313408060806081
"169",1.78,0.292702750275027
"170",1.79,0.30506698669867
"171",1.8,0.31285700570057
"172",1.81,0.310832323232323
"173",1.82,0.303950395039504
"174",1.83,0.313047424742474
"175",1.84,0.311469146914691
"176",1.85,0.320155455545555
"177",1.86,0.311899349934993
"178",1.87,0.325944834483448
"179",1.88,0.315710891089109
"180",1.89,0.310390199019902
"181",1.9,0.323112191219122
"182",1.91,0.31855497549755
"183",1.92,0.310711951195119
"184",1.93,0.328748594859486
"185",1.94,0.316430323032303
"186",1.95,0.321262246224622
"187",1.96,0.326182138213821
"188",1.97,0.32287300730073
"189",1.98,0.317430623062306
"190",1.99,0.329550515051505
"191",2,0.336639183918392
"192",2.01,0.332853165316532
"193",2.02,0.333806060606061
"194",2.03,0.337130553055305
"195",2.04,0.336740794079408
"196",2.05,0.342776197619762
"197",2.06,0.334697789778978
"198",2.07,0.341136233623362
"199",2.08,0.340632143214321
"200",2.09,0.343896389638964
"201",2.1,0.342402680268027
"202",2.11,0.337226162616262
"203",2.12,0.335617081708171
"204",2.13,0.343458305830583
"205",2.14,0.331315891589159
"206",2.15,0.343800140014001
"207",2.16,0.359211321132113
"208",2.17,0.337664446444644
"209",2.18,0.35957599759976
"210",2.19,0.349378217821782
"211",2.2,0.349820222022202
"212",2.21,0.354227862786279
"213",2.22,0.353207520752075
"214",2.23,0.35194599459946
"215",2.24,0.353330133013301
"216",2.25,0.357377697769777
"217",2.26,0.359778577857786
