"","n","target_corr_kendall","distribution_1","distribution_2","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
"D...1",100,-1,"normal","normal","quantile_1","gaussian",0.08128,0.12546,0.0807699999999414,0.121399999999981,0.118840369833333,0.268850644533333,0.0245191338341809,0.0417800956298904
"D...2",100,-1,"normal","normal","quantile_1","t",0.13915,0.0718,0.138900000000149,0.0712400000000216,0.630735966333333,0.0668985923333334,0.0260765326056602,0.0422126072906829
"D...3",100,-1,"normal","normal","quantile_4","gaussian",0.07296,0.14223,0.0698799999999564,0.141150000000013,0.105124101133333,0.436151511733333,0.00870868434597329,0.00851632696722625
"D...4",100,-1,"normal","normal","quantile_4","t",0.1506,0.30066,0.15247000000008,0.298299999999902,0.616323919033333,2.19588632033333,0.00960427919408643,0.00908260457165906
"D...5",100,-1,"normal","normal","quantile_7","gaussian",0.08032,0.11221,0.0777999999999936,0.111399999999974,0.112340168833333,0.317934650933333,0.00463537381449303,0.00841142492057036
"D...6",100,-1,"normal","normal","quantile_7","t",0.10286,0.13542,0.10155,0.137709999999823,0.139084654033333,0.514564924533333,0.00699384562083607,0.0077057031499684
"D...7",100,-1,"normal","normal","quantile_8","gaussian",0.0536,0.09294,0.0546200000000043,0.0922699999999968,0.0446164040333333,0.147097278133333,0.0093171362304306,0.0144235407608035
"D...8",100,-1,"normal","normal","quantile_8","t",0.11144,0.0937,0.111640000000052,0.0933700000000064,0.359124841233333,0.151159871833333,0.00928189368872396,0.00844863697027612
"D...9",100,-1,"normal","normal","poly","gaussian",0.05244,0.10177,0.0486399999999914,0.0993499999999887,0.0441204714333333,0.181712766133333,0.00343657415206497,0.00484957656140358
"D...10",100,-1,"normal","normal","poly","t",0.08736,0.10057,0.085409999999965,0.101010000000004,0.183487831033333,0.188343027333333,0.00980997606724419,0.00467110522469882
"D...11",100,-1,"normal","normal","akima","gaussian",0.08259,0.0858099999999999,0.0799599999999525,0.0838999999999727,0.185206959133333,0.137552516433333,0.0114200020546498,0.012594687754077
"D...12",100,-1,"normal","normal","akima","t",0.08232,0.07031,0.0799899999999182,0.0713899999999825,0.121256929433333,0.0790348341333334,0.00865404880989199,0.00602293345132887
"D...13",100,-1,"normal","exponential","quantile_1","gaussian",0.07386,0.08578,0.0743299999999391,0.0861600000000044,0.114869203833333,0.0725056717333334,0.0425612119898156,0.0805966697291003
"D...14",100,-1,"normal","exponential","quantile_1","t",0.07216,0.15734,0.0784400000000081,0.15537999999991,0.104713332233333,0.644978956333333,0.04909705992648,0.0447218116635484
"D...15",100,-1,"normal","exponential","quantile_4","gaussian",0.06273,0.21258,0.0613200000000516,0.214819999999968,0.0673267886333333,1.00149938913333,0.0124043637390275,0.010427086555449
"D...16",100,-1,"normal","exponential","quantile_4","t",0.06728,0.07103,0.0673200000000093,0.0728700000000014,0.0914374136333333,0.0700388801333334,0.00759712332642406,0.0117572665864411
"D...17",100,-1,"normal","exponential","quantile_7","gaussian",0.07812,0.12346,0.0784199999999982,0.12252000000003,0.0711329743333333,0.292657638833333,0.00583387623206205,0.0107904952191158
"D...18",100,-1,"normal","exponential","quantile_7","t",0.08019,0.07833,0.0802699999999607,0.0798299999999939,0.0953170848333334,0.133095462933333,0.00839680908270673,0.0172796606596596
"D...19",100,-1,"normal","exponential","quantile_8","gaussian",0.11188,0.13392,0.111689999999992,0.130979999999866,0.400053312333333,0.545735789433334,0.00894775259754948,0.0520731535645884
"D...20",100,-1,"normal","exponential","quantile_8","t",0.08268,0.10355,0.083300000000001,0.103430000000022,0.104016120233333,0.190449552933333,0.00850930834180158,0.0163947130774288
"D...21",100,-1,"normal","exponential","poly","gaussian",0.10816,0.08186,0.105710000000004,0.0822199999999924,0.258497977433333,0.108978550333333,0.00406454277541523,0.00944143176190349
"D...22",100,-1,"normal","exponential","poly","t",0.10053,0.09533,0.0991599999999728,0.0926300000000049,0.310650971733333,0.110545160833333,0.00503334972246615,0.00470366261737665
"D...23",100,-1,"normal","exponential","akima","gaussian",0.12635,0.10976,0.124060000000052,0.10866999999996,0.322468901133333,0.223719626233333,0.00510763121221092,0.0249581186558551
"D...24",100,-1,"normal","exponential","akima","t",0.07942,0.1019,0.079649999999971,0.0997899999999953,0.101200449933333,0.135853225533333,0.0121582921569535,0.0109249447793752
"D...25",100,-1,"normal","uniform","quantile_1","gaussian",0.09997,0.1225,0.0969699999999781,0.120679999999988,0.161294577433333,0.275495166533333,0.0405182370469709,0.00405385800052714
"D...26",100,-1,"normal","uniform","quantile_1","t",0.1029,0.1073,0.10538999999999,0.106860000000007,0.198461511233333,0.218304587533333,0.0352869537733798,0.00442367800200598
"D...27",100,-1,"normal","uniform","quantile_4","gaussian",0.13118,0.08812,0.132899999999947,0.088529999999986,0.342995886433333,0.140819431333333,0.00468787141254822,0.000854850711485097
"D...28",100,-1,"normal","uniform","quantile_4","t",0.14233,0.12347,0.144549999999962,0.122619999999913,0.289088707533333,0.535185828033333,0.011587407324417,0.00108554087675579
"D...29",100,-1,"normal","uniform","quantile_7","gaussian",0.11713,0.06171,0.116850000000012,0.064270000000026,0.342034224033333,0.0653008746333334,0.00992291839325984,0.000978653040081635
"D...30",100,-1,"normal","uniform","quantile_7","t",0.14347,0.17388,0.144440000000111,0.171880000000124,0.464441049633333,0.942351804233333,0.0117406206176249,0.000872238148767721
"D...31",100,-1,"normal","uniform","quantile_8","gaussian",0.1278,0.12482,0.127960000000016,0.126320000000018,0.243177017533333,0.276178579333333,0.00878196718354303,0.00095764891422261
"D...32",100,-1,"normal","uniform","quantile_8","t",0.07083,0.08795,0.072480000000084,0.0853399999999693,0.122724887833333,0.140806319233333,0.00412867928983737,0.00089827542398724
"D...33",100,-1,"normal","uniform","poly","gaussian",0.19553,0.09778,0.193969999999983,0.0991999999999379,0.753332898433334,0.131793810933333,0.0121891704081919,0.000355265709720953
"D...34",100,-1,"normal","uniform","poly","t",0.0859300000000001,0.06031,0.0852599999999563,0.0560999999999833,0.133840840133333,0.0612697924333334,0.00654155982681888,0.000364194971767182
"D...35",100,-1,"normal","uniform","akima","gaussian",0.16157,0.10182,0.157450000000008,0.100130000000005,0.776143107033333,0.289069870833333,0.019165307730593,0.000979710798812816
"D...36",100,-1,"normal","uniform","akima","t",0.17441,0.15991,0.177250000000028,0.156580000000032,0.754124935833333,0.806457600533333,0.0094945888615582,0.000896618208297887
"D...37",100,-1,"normal","log_normal","quantile_1","gaussian",0.10094,0.0936799999999999,0.0986599999999637,0.0922099999999496,0.136297891933333,0.199996586833333,0.0599260391350749,0.0752362055465013
"D...38",100,-1,"normal","log_normal","quantile_1","t",0.10841,0.08138,0.107610000000029,0.0839800000000123,0.138761251033333,0.112651806833333,0.0600121371878631,0.0895129877325542
"D...39",100,-1,"normal","log_normal","quantile_4","gaussian",0.19469,0.09102,0.190600000000061,0.0892299999999657,1.02573718943333,0.166794092033333,0.00647581359114534,0.067652687756453
"D...40",100,-1,"normal","log_normal","quantile_4","t",0.18983,0.09173,0.192349999999964,0.0924499999999962,0.726401364833334,0.189362379733333,0.0120987560299607,0.0325502888367141
"D...41",100,-1,"normal","log_normal","quantile_7","gaussian",0.09909,0.08264,0.100319999999957,0.0849499999999541,0.231331542033333,0.159400287133333,0.0139315593146939,0.0217513367805225
"D...42",100,-1,"normal","log_normal","quantile_7","t",0.09291,0.12861,0.0960099999999819,0.126479999999981,0.252006743833333,0.367884992333333,0.00731980520676548,0.133308338482192
"D...43",100,-1,"normal","log_normal","quantile_8","gaussian",0.11087,0.09537,0.111100000000013,0.0934700000000593,0.231751115533333,0.174072097133333,0.00794213438039464,0.0213317912315031
"D...44",100,-1,"normal","log_normal","quantile_8","t",0.13753,0.15477,0.139919999999995,0.15158000000002,0.242592467233333,0.343159344833333,0.0119325175470087,0.108689967426067
"D...45",100,-1,"normal","log_normal","poly","gaussian",0.06782,0.13018,0.0678900000000078,0.131910000000031,0.0768206515333334,0.271458554233333,0.00495631374407382,0.0796686998051334
"D...46",100,-1,"normal","log_normal","poly","t",0.12932,0.1082,0.126780000000067,0.10624999999998,0.375298079833333,0.142475478633333,0.00692462876016772,0.0179506466838625
"D...47",100,-1,"normal","log_normal","akima","gaussian",0.0794,0.08762,0.0792600000000194,0.0879599999999404,0.119272269333333,0.267912049033333,0.0107523003260366,0.469313557234799
"D...48",100,-1,"normal","log_normal","akima","t",0.0852499999999999,0.09025,0.0833799999999994,0.0889499999999882,0.0760510654333333,0.172229131033333,0.00658419686105622,0.0349654436849587
"D...49",100,-1,"normal","beta","quantile_1","gaussian",0.10634,0.07335,0.102260000000003,0.0735400000000236,0.286486989633333,0.0787563790333333,0.0328009068028257,0.00293450361286737
"D...50",100,-1,"normal","beta","quantile_1","t",0.11343,0.14095,0.114369999999999,0.141400000000015,0.236183807033333,0.306774512533333,0.0260253122292994,0.00311972900170915
"D...51",100,-1,"normal","beta","quantile_4","gaussian",0.15068,0.14791,0.149470000000035,0.150339999999989,0.392968382633333,0.366156993233334,0.00686965160380446,0.00112400764174083
"D...52",100,-1,"normal","beta","quantile_4","t",0.15041,0.08862,0.150549999999983,0.0899399999999889,0.332970738333334,0.123964783733333,0.00672266261356123,0.000837461546215572
"D...53",100,-1,"normal","beta","quantile_7","gaussian",0.16417,0.12498,0.165210000000038,0.123400000000024,0.601197909333333,0.256221600733333,0.0128761257577509,0.000947028749743336
"D...54",100,-1,"normal","beta","quantile_7","t",0.16423,0.12161,0.165060000000059,0.123890000000079,0.642297796833333,0.388269285733333,0.00945659265760619,0.000704700360503129
"D...55",100,-1,"normal","beta","quantile_8","gaussian",0.13656,0.10676,0.134949999999978,0.107959999999954,0.377920369433334,0.200417459733333,0.00768156461942228,0.000929085623754313
"D...56",100,-1,"normal","beta","quantile_8","t",0.17944,0.09502,0.181779999999998,0.0937499999999809,0.614519401833333,0.165561970433333,0.00906768462835479,0.00114528541085999
"D...57",100,-1,"normal","beta","poly","gaussian",0.09539,0.12779,0.0971499999999952,0.128149999999983,0.262950685133333,0.335425054033333,0.0050289070877426,0.000745721232471105
"D...58",100,-1,"normal","beta","poly","t",0.12545,0.09028,0.123060000000022,0.0926200000000279,0.326778199133333,0.112129832533333,0.00355852144437679,0.000831755370793588
"D...59",100,-1,"normal","beta","akima","gaussian",0.1336,0.09408,0.135800000000011,0.0918799999999617,0.297225357933333,0.132730048533333,0.00859178610430174,0.00240309648202843
"D...60",100,-1,"normal","beta","akima","t",0.12505,0.06394,0.124510000000012,0.0635899999999945,0.321143160933333,0.0702521712333334,0.0109341198025868,0.000897864679063158
"D...61",100,-1,"normal","student_t","quantile_1","gaussian",0.11964,0.11052,0.121109999999983,0.111249999999986,0.233773019933333,0.213566777433333,0.0298792441978057,1.11885777123234
"D...62",100,-1,"normal","student_t","quantile_1","t",0.10798,0.07927,0.108699999999983,0.0789299999999894,0.216406024033333,0.115844148733333,0.0361067163520578,0.193865537083604
"D...63",100,-1,"normal","student_t","quantile_4","gaussian",0.1221,0.111,0.126069999999992,0.108479999999998,0.397016772033333,0.318057204633333,0.00698775543155124,0.43000060592422
