"","Theta","Correlation"
"1",0.1,0.0564680868086809
"2",0.11,0.0480636463646365
"3",0.12,0.0531934793479348
"4",0.13,0.0622001400140014
"5",0.14,0.068379797979798
"6",0.15,0.0778950695069507
"7",0.16,0.0775599559955995
"8",0.17,0.0884474847484748
"9",0.18,0.0851493549354935
"10",0.19,0.0767606360636063
"11",0.2,0.0977812581258126
"12",0.21,0.100945494549455
"13",0.22,0.0953751775177518
"14",0.23,0.0963111511151115
"15",0.24,0.122111251125112
"16",0.25,0.101015741574157
"17",0.26,0.117213721372137
"18",0.27,0.12199595959596
"19",0.28,0.128741114111411
"20",0.29,0.131346214621462
"21",0.3,0.133282368236824
"22",0.31,0.125025862586259
"23",0.32,0.143325492549255
"24",0.33,0.129030143014301
"25",0.34,0.150897569756976
"26",0.35,0.146618341834183
"27",0.36,0.16043504350435
"28",0.37,0.161441184118412
"29",0.38,0.150768116811681
"30",0.39,0.167510791079108
"31",0.4,0.169745454545455
"32",0.41,0.171072267226723
"33",0.42,0.174369356935694
"34",0.43,0.176409480948095
"35",0.44,0.186367316731673
"36",0.45,0.182778757875788
"37",0.46,0.183192279227923
"38",0.47,0.19300498049805
"39",0.48,0.191183718371837
"40",0.49,0.200255665566557
"41",0.5,0.201123552355235
"42",0.51,0.215864466446645
"43",0.52,0.199033423342334
"44",0.53,0.216236623662366
"45",0.54,0.220665506550655
"46",0.55,0.227641484148415
"47",0.56,0.22102498249825
"48",0.57,0.220607660766077
"49",0.58,0.22331205120512
"50",0.59,0.227277887788779
"51",0.6,0.231483668366837
"52",0.61,0.235161636163616
"53",0.62,0.229838103810381
"54",0.63,0.2352700070007
"55",0.64,0.237315931593159
"56",0.65,0.254398439843984
"57",0.66,0.25660598059806
"58",0.67,0.251269686968697
"59",0.68,0.274524932493249
"60",0.69,0.263880308030803
"61",0.7,0.261166596659666
"62",0.71,0.265531793179318
"63",0.72,0.259605160516052
"64",0.73,0.271325532553255
"65",0.74,0.263709730973097
"66",0.75,0.273593359335934
"67",0.76,0.273339173917392
"68",0.77,0.271122232223222
"69",0.78,0.283453305330533
"70",0.79,0.272287148714871
"71",0.8,0.27917899789979
"72",0.81,0.27957795779578
"73",0.82,0.287051225122512
"74",0.83,0.279007380738074
"75",0.84,0.291047944794479
"76",0.85,0.301961436143614
"77",0.86,0.29413101310131
"78",0.87,0.303602120212021
"79",0.88,0.30479299929993
"80",0.89,0.293273167316732
"81",0.9,0.31843904390439
"82",0.91,0.318195219521952
"83",0.92,0.319638603860386
"84",0.93,0.319617681768177
"85",0.94,0.311473467346735
"86",0.95,0.314816361636164
"87",0.96,0.304159335933593
"88",0.97,0.3280099609961
"89",0.98,0.322287228722872
"90",0.99,0.329910431043104
"91",1,0.342147614761476
"92",1.01,0.333373857385739
"93",1.02,0.332879527952795
"94",1.03,0.344813161316132
"95",1.04,0.344442324232423
"96",1.05,0.342853605360536
"97",1.06,0.336425202520252
"98",1.07,0.352326632663266
"99",1.08,0.345992879287929
"100",1.09,0.342549934993499
"101",1.1,0.362119091909191
"102",1.11,0.35851897189719
"103",1.12,0.359576557655766
"104",1.13,0.359009780978098
"105",1.14,0.361237083708371
"106",1.15,0.363339773977398
"107",1.16,0.373771777177718
"108",1.17,0.362639623962396
"109",1.18,0.371399939993999
"110",1.19,0.378080888088809
"111",1.2,0.372075367536754
"112",1.21,0.38428898889889
"113",1.22,0.37430695069507
"114",1.23,0.383393619361936
"115",1.24,0.382210821082108
"116",1.25,0.385488268826883
"117",1.26,0.394301710171017
"118",1.27,0.389997239723972
"119",1.28,0.39207896789679
"120",1.29,0.395491629162916
"121",1.3,0.406547454745474
"122",1.31,0.399221082108211
"123",1.32,0.397708890889089
"124",1.33,0.390933333333333
"125",1.34,0.39778805880588
"126",1.35,0.404171177117712
"127",1.36,0.413895349534953
"128",1.37,0.393150395039504
"129",1.38,0.410889648964896
"130",1.39,0.416259585958596
"131",1.4,0.414178857885789
"132",1.41,0.416546894689469
"133",1.42,0.414242224222422
"134",1.43,0.41951603160316
"135",1.44,0.410113091309131
"136",1.45,0.421581198119812
"137",1.46,0.42687300730073
"138",1.47,0.432639383938394
"139",1.48,0.436202060206021
"140",1.49,0.420924172417242
"141",1.5,0.430679827982798
"142",1.51,0.417768376837684
"143",1.52,0.422770677067707
"144",1.53,0.437776777677768
"145",1.54,0.427937353735373
"146",1.55,0.437879787978798
"147",1.56,0.437687128712871
"148",1.57,0.435214081408141
"149",1.58,0.437280568056806
"150",1.59,0.456053765376538
"151",1.6,0.450062166216622
